ID,oldID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,Q1,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q12
1053,738,ïyâ™ÅÅï◊        ,1,42,1,61,3,1,1,1,60,4,2,3,8,7,8,3,15,2,1,3,4,2,1,3,3,2,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,2,3,3,2,2,3,1,3,1,3,4,2,4,1,2,2,3,1,2,3,2,3,3,3,2,3,1,2,3,2,2,3,2,5,50,100,50,50,50,100,25,75,0,25,75,25,25,0,3
1054,739,çÇñÿÅÅã`ñæ      ,1,42,1,61,3,6,2,1,63,1,3,15,9,15,13,9,15,1,3,2,3,4,2,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1,3,3,3,1,3,3,3,3,3,4,2,3,2,3,5,1,2,4,3,3,3,2,2,3,3,3,4,3,4,3,4,25,25,50,25,25,25,100,100,100,100,100,75,75,50,3
1055,740,ü∫ê£ÅÅâhéq      ,1,42,1,61,1,0,4,2,52,4,4,9,15,14,9,15,14,2,1,5,3,3,3,4,3,3,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,3,1,5,3,5,5,1,5,2,5,5,5,5,1,2,5,5,5,1,1,2,5,5,1,2,1,5,3,3,5,5,5,1,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2
1056,1059,ç]ìcÅÅçkàÍ      ,1,42,1,NA,1,0,11,1,51,4,4,1,2,14,NA,NA,NA,1,4,3,NA,NA,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,1,1,1,NA,1,2,1,1,1,NA,5,3,3,3,5,3,1,1,3,4,3,3,3,1,3,3,3,3,1,5,5,50,0,30,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3
1057,741,ãvä‘ÅÅèÕê∂      ,1,42,2,61,3,9,1,1,68,4,2,3,15,5,15,5,3,1,3,5,4,NA,1,NA,NA,NA,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,2,2,4,2,3,2,2,1,3,2,3,3,1,4,2,2,1,1,2,4,3,2,2,3,4,1,4,1,3,3,2,3,1,2,5,100,90,70,50,40,70,50,70,30,20,70,10,20,50,5
1058,742,ïüìcÅÅàﬂó¢éq    ,1,42,2,61,1,0,2,2,28,1,4,8,7,9,8,7,9,5,3,1,3,4,3,3,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,5,1,1,5,3,2,5,1,4,1,3,4,3,5,2,3,3,5,4,1,1,4,3,3,3,2,2,5,3,2,5,3,4,3,4,0,30,30,0,0,30,100,100,100,100,100,50,50,50,2
1059,1060,éƒìcÅÅà§        ,1,42,2,NA,1,0,11,2,35,4,3,3,1,6,1,6,NA,1,4,3,2,2,3,3,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,2,1,1,2,3,1,2,2,1,2,3,4,2,3,3,5,4,2,1,4,3,1,4,4,2,3,3,4,4,1,5,4,30,10,30,20,35,50,10,15,10,10,30,55,70,35,1
1060,743,ëäâYÅÅäÏë„éq    ,1,42,2,NA,1,0,12,2,44,4,3,13,12,8,13,8,6,1,5,2,NA,1,NA,NA,1,NA,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,5,1,1,5,1,5,5,1,5,1,4,5,3,5,2,2,2,4,5,1,3,2,2,1,3,2,1,5,2,2,5,4,5,1,5,65,65,65,30,40,65,60,65,30,30,65,70,70,80,2
1061,744,éRçËÅÅéıòY      ,1,42,2,NA,1,0,12,1,29,4,4,3,5,8,4,11,12,5,4,1,2,2,2,2,2,2,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,1,2,2,2,2,3,5,3,2,2,5,3,2,3,3,3,4,3,3,3,4,2,2,4,2,4,2,4,10,50,40,40,40,40,40,50,10,40,40,60,60,60,4
1062,745,íJêÏÅÅñÌàÍ      ,1,42,3,61,3,2,1,1,67,3,2,3,9,5,2,4,5,1,5,3,4,NA,1,3,NA,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,5,5,1,1,5,5,NA,1,1,1,3,1,3,1,1,5,75,75,0,0,100,50,0,50,0,0,50,0,50,50,5
1063,746,éRìcÅÅê≥ïF      ,1,42,3,61,3,4,2,1,66,1,3,5,7,8,5,8,6,1,5,3,3,4,3,2,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,5,1,1,5,3,4,4,1,3,1,3,4,2,5,1,2,1,4,4,1,1,5,5,3,1,2,1,5,3,3,5,5,4,3,3,0,20,30,0,0,0,100,80,100,100,50,40,60,0,2
1064,1061,éRìcÅÅêπêl      ,1,42,3,NA,1,0,11,1,43,4,4,3,9,14,15,3,4,1,4,3,2,3,3,3,3,3,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,5,4,2,1,1,1,3,1,3,1,1,1,1,3,2,1,4,5,5,5,1,5,5,2,4,2,1,3,3,5,1,1,5,5,0,0,50,50,25,25,0,0,0,0,0,75,75,0,1
1065,747,ñkë∫ÅÅêΩå·      ,1,42,4,61,3,3,1,1,61,3,2,3,NA,15,5,15,1,3,1,5,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,1,2,2,1,3,2,1,1,1,5,2,2,2,2,3,3,2,3,4,4,2,1,3,2,2,5,4,5,1,4,3,100,100,100,100,100,100,50,50,50,25,100,100,75,50,3
1066,748,ã{ìáÅÅëÂìT      ,1,42,4,61,2,1,2,1,45,1,4,15,3,13,1,6,13,5,1,4,3,4,3,3,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,3,3,2,4,1,3,1,2,3,3,4,2,2,3,4,4,1,1,4,4,4,4,3,2,5,2,3,4,3,3,3,4,10,20,25,20,15,40,90,90,90,80,85,60,70,40,5
1067,1062,éRìcÅÅçFàÍ      ,1,42,4,NA,1,0,11,1,58,4,3,14,3,6,14,4,6,4,3,1,2,3,3,3,3,2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,3,2,1,1,1,4,1,1,1,1,1,1,4,3,4,3,5,5,1,1,2,5,3,3,1,1,2,4,1,1,1,5,5,50,0,50,50,75,50,0,25,0,0,75,75,50,50,1
1068,749,ñÿå¥ÅÅñ´        ,1,43,1,61,3,1,1,1,39,4,2,3,15,14,15,5,8,3,2,1,4,3,2,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1,1,3,3,1,1,1,3,3,3,3,1,1,3,1,5,5,1,3,5,3,1,1,3,1,1,1,3,3,3,100,100,100,100,100,100,0,0,0,0,0,50,50,50,3
1069,750,èºñÏÅÅóäãv      ,1,43,1,61,3,3,2,1,48,1,4,12,7,15,15,2,3,5,3,4,3,4,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,5,3,2,2,1,3,2,2,4,2,5,2,3,4,4,5,2,5,4,3,3,4,3,1,2,2,3,3,4,1,2,4,25,25,25,25,25,25,100,75,75,75,75,50,50,25,1
1070,751,è„ñÏÅÅìNïv      ,1,43,1,61,1,0,4,1,55,4,4,9,8,3,15,9,5,1,2,4,3,3,3,4,3,3,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3,1,5,2,5,5,1,5,2,2,5,5,5,1,1,2,4,5,1,1,2,5,5,1,2,1,5,3,3,5,4,5,1,2,5,10,20,5,5,10,10,15,10,15,10,10,0,10,2
1071,1063,éÁìcÅÅó≤éu      ,1,43,1,NA,1,0,11,1,59,4,3,1,3,14,3,14,15,3,4,1,2,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,4,4,2,1,1,1,4,1,1,1,1,1,3,5,3,1,3,5,5,5,1,4,2,1,4,1,1,2,3,5,4,1,5,5,0,0,25,75,50,50,0,0,0,0,25,75,75,50,1
1072,752,ó—ìcÅÅïV        ,1,43,2,NA,3,4,1,1,64,4,2,15,3,5,15,5,3,3,5,1,4,NA,1,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,1,1,1,1,1,1,1,4,3,1,2,1,3,2,3,3,3,1,3,3,3,1,3,3,4,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
