ID,NAME,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,SQ8_1,SQ8_2,SQ8_3,Q9,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q1_1FA,Q1_2FA,Q1_3FA,SQ8_1FA,SQ8_2FA,SQ8_3FA,Q15FA
27,原田＝有康,1,1,8,0,51,1,0,6,1,66,0,2,15,12,2,3,1,20,50,15,25,20,0,100,50,60,20,15,20,2,2,5,5,4,5,5,2,3,5,4,5,5,1,3,4,5,1,99,5,4,1,2,4,1,5,5,2,5,5,66,66,66,5,5,5,5,4,0,2,2,1,6,2,,,,,,,
28,堀井＝学,1,1,9,0,51,3,1,1,1,42,1,16,16,4,1,2,3,100,0,0,100,0,0,0,0,0,0,0,0,5,5,1,5,3,1,5,1,1,2,1,1,3,5,3,1,1,5,3,3,3,3,3,1,5,3,3,3,3,1,3,1,9,1,1,4,2,2,5,1,0,2,1,6,経済対策,地方創生,,,,,
29,山岡＝達丸,1,1,9,0,51,2,1,2,1,35,0,7,6,2,1,5,2,999,999,999,999,999,999,999,999,999,999,999,999,99,99,3,5,3,5,4,3,3,2,4,5,5,4,3,5,2,2,2,4,4,4,2,4,2,4,4,2,4,4,66,66,66,5,5,5,5,3,2,1,2,1,2,5,,,,,,,
30,工藤＝良一,1,1,9,0,66,1,0,6,1,60,0,7,5,4,1,5,2,30,30,0,0,0,0,100,0,40,0,0,0,3,2,5,5,5,5,4,1,1,5,5,5,5,2,3,5,5,1,4,4,4,2,3,3,1,5,5,1,4,5,66,66,66,5,5,5,5,4,0,0,0,1,2,7,,,,,,,
31,神谷＝裕,1,1,10,0,66,1,0,2,1,46,0,4,6,5,1,99,99,10,90,999,10,999,999,10,999,70,80,999,999,6,6,5,3,3,4,4,2,2,3,2,5,3,2,2,3,3,1,2,4,3,2,2,4,2,4,4,2,3,2,6,99,99,5,4,5,4,99,0,0,99,2,6,99,,,,,,,
32,稲津＝久,1,1,10,0,66,3,2,4,1,56,1,4,7,6,3,2,1,90,40,50,100,50,999,30,40,40,40,50,50,5,5,3,5,3,5,4,2,2,3,3,4,4,2,3,2,2,2,2,3,3,2,2,4,3,4,3,2,2,2,7,8,4,2,2,3,2,2,4,2,2,2,6,14,,,,,,,
33,木村＝賢治,1,1,10,0,66,1,0,6,1,63,0,16,12,4,1,3,2,0,10,0,0,0,0,100,0,50,0,0,0,2,2,5,5,4,5,5,2,3,5,4,5,5,1,3,4,5,1,99,5,4,1,2,4,1,5,5,99,5,5,66,66,66,5,5,5,5,4,4,0,0,1,7,2,消費税問題,,,,,,
34,中川＝郁子,1,1,11,0,51,3,1,1,2,55,1,1,3,5,3,4,5,100,999,999,999,999,999,999,999,999,999,999,999,7,7,1,3,3,2,3,3,3,3,2,1,2,5,5,2,2,5,2,3,3,3,3,3,4,3,3,3,3,99,66,66,66,1,1,4,1,2,4,4,4,2,1,6,,,,,,,
35,三津＝丈夫,1,1,11,0,51,1,0,2,1,68,0,3,12,15,3,4,2,0,100,50,50,0,999,50,50,100,100,0,0,4,4,5,5,4,5,5,3,4,5,5,5,5,1,3,5,5,1,3,5,5,2,3,3,1,5,5,5,5,5,66,66,66,5,5,5,5,4,2,0,0,2,1,9,,,,,,,
36,畑中＝庸助,1,1,11,0,66,1,0,6,1,63,0,16,4,15,1,2,99,0,0,0,0,0,0,100,0,50,0,0,999,5,5,5,5,5,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,5,1,3,5,1,4,4,1,5,5,66,66,66,5,5,5,5,4,0,1,1,1,2,7,消費税10%中止,,,,,,
37,武部＝新,1,1,12,0,66,3,1,1,1,44,1,16,16,4,3,1,4,100,0,30,95,40,999,0,0,0,10,999,50,8,8,1,2,2,2,3,1,1,3,2,1,2,5,2,1,1,5,2,2,3,3,3,2,4,4,3,2,3,1,1,2,3,1,1,2,2,2,4,3,2,2,6,14,景気回復・経済対策,地方創世,,,,,
38,水上＝美華,1,1,12,0,66,1,0,2,2,32,0,11,4,5,1,3,5,10,90,70,10,10,70,10,70,60,70,10,20,6,5,3,3,3,5,4,3,4,3,3,4,4,2,3,4,4,2,2,3,3,3,3,5,3,5,5,1,3,3,66,66,66,5,5,5,5,2,4,3,0,2,14,6,,,,,,,
39,菅原＝誠,1,1,12,0,66,1,0,6,1,41,0,12,4,15,1,3,2,30,40,30,20,30,30,90,50,50,40,30,30,2,2,4,4,4,5,4,3,4,5,5,5,4,2,4,4,5,2,3,5,4,2,2,3,1,4,4,2,4,5,66,66,66,5,5,4,4,4,5,3,0,1,6,13,,,,,,,
40,津島＝淳,1,2,1,0,52,3,1,1,1,48,1,3,4,5,1,3,99,90,10,30,80,30,30,30,20,20,30,30,30,6,8,4,5,2,3,5,2,2,2,2,2,2,4,4,1,1,4,1,4,4,2,1,4,5,5,4,2,4,1,3,8,2,2,2,4,4,2,1,4,1,2,14,1,,,,,,,
41,升田＝世喜男,1,2,1,0,52,1,0,3,1,57,2,4,11,5,1,4,5,40,80,80,30,70,50,10,60,60,10,60,50,5,5,2,3,2,2,3,3,3,2,3,1,3,4,3,2,2,4,4,2,5,3,2,2,3,5,3,2,3,2,3,4,8,3,2,5,4,3,1,1,1,1,2,6,,,,,,,
42,吉俣＝洋,1,2,1,0,52,1,0,6,1,40,0,16,7,15,2,1,5,0,20,0,0,0,0,999,0,25,0,0,0,1,1,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,66,66,66,5,5,5,5,4,4,4,2,1,2,6,消費税１０％きっぱり中止,,,,,,
43,江渡＝聡徳,1,2,2,0,52,3,5,1,1,59,1,16,1,16,1,3,5,100,30,30,100,60,50,20,30,30,50,50,50,6,6,1,3,3,3,4,99,2,2,2,2,2,5,4,1,1,5,3,1,3,3,3,1,5,3,4,3,3,1,9,8,1,1,1,4,2,2,1,1,1,2,1,7,経済対策,,地方創生,,,,
44,中野渡＝詔子,1,2,2,0,52,2,1,3,2,44,0,4,7,5,1,5,4,5,50,100,5,5,50,5,50,50,50,5,50,5,99,1,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,4,3,2,3,4,3,3,4,3,3,3,66,66,66,5,5,5,5,3,1,2,0,2,1,14,,,,,,,
45,小笠原＝良子,1,2,2,0,66,1,0,6,2,65,0,15,16,12,2,1,5,0,25,0,0,0,0,999,0,25,0,0,0,1,1,5,5,5,5,5,4,3,5,5,5,5,1,4,5,5,1,2,5,5,1,3,3,1,5,5,2,4,5,66,66,66,5,5,5,5,4,0,2,1,1,2,6,,消費税10％キッパリ中止,,,,,
46,大島＝理森,1,2,3,0,52,3,10,1,1,68,1,16,1,16,1,4,3,100,999,999,999,999,999,999,999,999,999,999,999,5,5,1,3,3,2,3,1,2,2,2,1,3,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,3,9,1,1,1,4,2,2,2,1,4,2,6,1,：経済対策,,地方創生,,,,
47,田名部＝匡代,1,2,3,0,52,2,3,2,2,45,0,6,7,5,5,1,3,999,999,999,999,999,999,999,999,999,999,999,999,5,5,2,3,2,4,4,3,3,2,3,4,4,3,3,1,2,1,2,2,5,2,1,5,4,3,4,1,3,2,9,5,4,4,5,5,5,99,2,3,1,2,6,1,,,,,,,
48,松橋＝三夫,1,2,3,0,66,1,0,6,1,65,0,16,7,15,1,5,99,0,25,0,0,0,0,100,50,50,0,0,0,0,0,5,5,5,5,5,3,3,5,5,5,5,1,4,5,5,1,3,3,3,2,3,4,1,5,3,1,5,5,66,66,66,5,5,5,5,4,0,0,2,6,1,2,消費税１０％のさき送りでなくただちに増税中止,,,,,,
