uid,ELECYEAR,ID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,prim1,prim2,prim3,camp1,camp2,camp3,coal_lib,coal_dem,coal_kmei,coal_com,coal_soc,coal_koku,yn_medconst,yn_reps,yn_const,yn_defense,yn_preemp,yn_unsc,yn_nkorea,yn_smgov,yn_pubspend,yn_fiscalpol,yn_tax5yrs,yn_frgnvote,yn_frgnwork,yn_privacy,yn_tax10pc,yn_moral,ab_asiaus,ab_compet,ab_env,ab_singlemum,ab_trade,fav_masuzoe,fav_ozawa,fav_watanabe,fav_hashimoto,media_hp,media_sns,media_tv
1053.1.0,2009,30,川畑＝悟,1,1.0,9.0,51.0,1,0,1,1,37.0,4,,,,1.0,5.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,,,,,2.0,2.0,1.0,80.0,50.0,70.0,80.0,,,
2511.1.0,2009,31,鳩山＝由紀夫,1,1.0,9.0,,3,7,2,1,61.0,1,,,,1.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,,,,,2.0,3.0,3.0,25.0,100.0,75.0,75.0,,,
320.1.0,2009,32,佐藤＝昭子,1,1.0,9.0,51.0,1,0,4,2,65.0,4,,,,1.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,1.0,2.0,5.0,,,,,3.0,3.0,1.0,,,,,,,
2291.1.0,2009,33,里村＝英一,1,1.0,9.0,,1,0,11,1,49.0,4,,,,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0,1.0,5.0,,,,,5.0,3.0,5.0,20.0,0.0,50.0,50.0,,,
2442.1.0,2009,34,飯島＝夕雁,1,1.0,10.0,51.0,3,1,1,2,44.0,4,,,,,,,4.0,2.0,1.0,3.0,3.0,2.0,3.0,,1.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,5.0,4.0,2.0,,,,,4.0,3.0,2.0,70.0,0.0,40.0,50.0,,,
809.1.0,2009,35,小平＝忠正,1,1.0,10.0,51.0,3,6,2,1,66.0,1,,,,1.0,3.0,,3.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,,,,,3.0,4.0,2.0,50.0,70.0,50.0,50.0,,,
646.1.0,2009,36,大林＝誠,1,1.0,10.0,,1,0,11,1,36.0,4,,,,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,4.0,5.0,5.0,1.0,3.0,,,,,3.0,5.0,5.0,25.0,0.0,50.0,75.0,,,
106.1.0,2009,37,中川＝昭一,1,1.0,11.0,51.0,3,8,1,1,55.0,4,,,,2.0,5.0,3.0,4.0,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,,,,,2.0,1.0,2.0,55.0,5.0,40.0,50.0,,,
1876.1.0,2009,38,石川＝知裕,1,1.0,11.0,51.0,3,1,2,1,35.0,1,,,,1.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,2.0,3.0,5.0,2.0,3.0,5.0,,,,,2.0,3.0,3.0,50.0,100.0,75.0,75.0,,,
1672.1.0,2009,39,渡辺＝紫,1,1.0,11.0,51.0,1,0,4,2,60.0,4,,,,1.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,5.0,1.0,2.0,5.0,,,,,3.0,3.0,1.0,,,,,,,
1503.1.0,2009,40,武部＝勤,1,1.0,12.0,51.0,3,7,1,1,67.0,3,,,,4.0,1.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,,,,,2.0,2.0,2.0,75.0,10.0,60.0,60.0,,,
1299.1.0,2009,41,松木＝謙公,1,1.0,12.0,51.0,3,2,2,1,49.0,1,,,,,,,3.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,2.0,1.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1987.1.0,2009,42,笠松＝長麿,1,1.0,12.0,,1,0,11,1,56.0,4,,,,3.0,4.0,,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,1.0,3.0,,,,,3.0,1.0,4.0,55.0,0.0,75.0,,,,
1455.2.0,2009,43,横山＝北斗,1,2.0,1.0,52.0,3,1,2,1,45.0,1,,,,1.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,,,,,3.0,1.0,1.0,0.0,100.0,0.0,0.0,,,
468.2.0,2009,44,吉俣＝洋,1,2.0,1.0,52.0,1,0,4,1,34.0,4,,,,2.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,4.0,,,,,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,
1675.2.0,2009,45,渡辺＝英彦,1,2.0,1.0,52.0,1,0,5,1,68.0,4,,,,1.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,3.0,5.0,1.0,3.0,5.0,,,,,2.0,4.0,2.0,50.0,50.0,50.0,50.0,,,
57.2.0,2009,46,上田＝一博,1,2.0,1.0,,1,0,11,1,59.0,4,,,,1.0,3.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,,,,,3.0,2.0,5.0,56.0,10.0,75.0,70.0,,,
424.2.0,2009,47,升田＝世喜男,1,2.0,1.0,,1,0,12,1,51.0,4,,,,1.0,5.0,4.0,,,,,,,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,5.0,5.0,4.0,2.0,,,,,2.0,1.0,1.0,40.0,30.0,60.0,75.0,,,
1602.2.0,2009,48,津島＝淳,1,2.0,1.0,,1,0,12,1,42.0,4,,,,1.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,,,,,2.0,5.0,2.0,75.0,,,,,,
1536.2.0,2009,49,江渡＝聡徳,1,2.0,2.0,52.0,3,3,1,1,53.0,1,,,,1.0,3.0,2.0,4.0,,,,,,4.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,,,,,3.0,2.0,3.0,70.0,10.0,25.0,20.0,,,
150.2.0,2009,50,中野渡＝詔子,1,2.0,2.0,52.0,1,0,2,2,38.0,3,,,,1.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0,4.0,1.0,4.0,4.0,,,,,2.0,5.0,2.0,50.0,100.0,50.0,50.0,,,
1403.2.0,2009,51,森光＝浄,1,2.0,2.0,,1,0,11,1,59.0,4,,,,1.0,3.0,4.0,2.0,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,3.0,2.0,3.0,,,,,3.0,2.0,4.0,50.0,10.0,60.0,60.0,,,
1715.2.0,2009,52,熊谷＝ヒサ子,1,2.0,2.0,,1,0,12,2,61.0,4,,,,5.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,2.0,4.0,2.0,70.0,40.0,60.0,60.0,,,
641.2.0,2009,53,大島＝理森,1,2.0,3.0,52.0,3,8,1,1,62.0,1,,,,,,,4.0,,1.0,,,,4.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,,3.0,2.0,1.0,,,,,2.0,2.0,3.0,,,,,,,
